Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - Academic - S1 S2] Foreign Language/English,02.07.2020,13:00,02.07.2020,14:45,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Foreign Language/English,03.07.2020,08:10,03.07.2020,09:55,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,03.07.2020,10:15,03.07.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,03.07.2020,12:05,03.07.2020,12:55,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Oenology,06.07.2020,10:15,06.07.2020,12:55,V. Aiosi BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,06.07.2020,13:00,06.07.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,06.07.2020,13:55,06.07.2020,15:40,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,06.07.2020,16:00,06.07.2020,17:45,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,07.07.2020,10:15,07.07.2020,12:00,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Lunch,07.07.2020,12:05,07.07.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Foreign Language/English,07.07.2020,13:55,07.07.2020,15:40,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,08.07.2020,08:10,08.07.2020,09:55,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Oenology,08.07.2020,10:15,08.07.2020,12:00,V. Aiosi BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,08.07.2020,12:05,08.07.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,09.07.2020,10:15,09.07.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,09.07.2020,12:05,09.07.2020,12:55,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Foreign Language/English,09.07.2020,13:00,09.07.2020,14:45,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Foreign Language/English,10.07.2020,08:10,10.07.2020,09:55,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,10.07.2020,10:15,10.07.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,10.07.2020,12:05,10.07.2020,12:55,BBA 1 - Academic - S1 S2
