Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M1] Foreign Languages,25.09.2019,08:10,25.09.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,25.09.2019,09:05,25.09.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,25.09.2019,10:15,25.09.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,25.09.2019,12:05,25.09.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,25.09.2019,13:55,25.09.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,25.09.2019,14:50,25.09.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,25.09.2019,16:00,25.09.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,26.09.2019,08:10,26.09.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,26.09.2019,10:15,26.09.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,26.09.2019,11:10,26.09.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,26.09.2019,12:05,26.09.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,26.09.2019,13:00,26.09.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,26.09.2019,13:55,26.09.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,26.09.2019,14:50,26.09.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,27.09.2019,09:05,27.09.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,27.09.2019,10:15,27.09.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,27.09.2019,12:05,27.09.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Lunch,30.09.2019,12:05,30.09.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Integrated Project ,30.09.2019,14:50,30.09.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,01.10.2019,08:10,01.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,01.10.2019,10:15,01.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,01.10.2019,11:10,01.10.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,01.10.2019,12:05,01.10.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,01.10.2019,13:55,01.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,01.10.2019,14:50,01.10.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Les Roches Accreditation - Open Information Sessions,01.10.2019,16:00,01.10.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 MBA 1 PGDa PGDb MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,LT 1
