Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M1] Economics,19.11.2019,08:10,19.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,19.11.2019,10:15,19.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,19.11.2019,11:10,19.11.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,19.11.2019,12:05,19.11.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,19.11.2019,13:55,19.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,19.11.2019,14:50,19.11.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,20.11.2019,08:10,20.11.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,20.11.2019,09:05,20.11.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,20.11.2019,10:15,20.11.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,20.11.2019,12:05,20.11.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,20.11.2019,13:55,20.11.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,20.11.2019,14:50,20.11.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,20.11.2019,16:00,20.11.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,21.11.2019,08:10,21.11.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,21.11.2019,10:15,21.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,21.11.2019,11:10,21.11.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,21.11.2019,12:05,21.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,21.11.2019,13:00,21.11.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,21.11.2019,13:55,21.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Food and Beverage Management and Cost Control,21.11.2019,16:00,21.11.2019,17:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Economics,22.11.2019,09:05,22.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,22.11.2019,10:15,22.11.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,22.11.2019,12:05,22.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Lunch,25.11.2019,12:05,25.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,25.11.2019,13:00,25.11.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] INT 5208 - Conflict Management/Receiving and Addressing Feedback,25.11.2019,14:50,25.11.2019,15:40,BBA 4 - M1 E. Wong,[305]
[BBA 4 - M1] INT 5208 - Intercultural Communication,25.11.2019,16:00,25.11.2019,17:45,BBA 4 - M1 J. Meehan,[305]
[BBA 4 - M1] Economics,26.11.2019,08:10,26.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,26.11.2019,10:15,26.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,26.11.2019,11:10,26.11.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,26.11.2019,12:05,26.11.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,26.11.2019,13:55,26.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,26.11.2019,14:50,26.11.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,27.11.2019,08:10,27.11.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,27.11.2019,09:05,27.11.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,27.11.2019,10:15,27.11.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,27.11.2019,12:05,27.11.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,27.11.2019,13:55,27.11.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,27.11.2019,14:50,27.11.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,27.11.2019,16:00,27.11.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,28.11.2019,08:10,28.11.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,28.11.2019,10:15,28.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,28.11.2019,11:10,28.11.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,28.11.2019,12:05,28.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,28.11.2019,13:00,28.11.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,28.11.2019,13:55,28.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Economics,29.11.2019,09:05,29.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,29.11.2019,10:15,29.11.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,29.11.2019,12:05,29.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,29.11.2019,13:00,29.11.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,02.12.2019,12:05,02.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,02.12.2019,13:00,02.12.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.2]
[BBA 4 - M1] INT 5208 - Foreign Languages and Internships,02.12.2019,14:50,02.12.2019,15:40,BBA 4 - M1 A. Andrioli,[305]
[BBA 4 - M1] INT 5208 - Corporate Social Responsibility,02.12.2019,16:00,02.12.2019,17:45,BBA 4 - M1 CDIP 1,[305]
[BBA 4 - M1] Economics,03.12.2019,08:10,03.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,03.12.2019,10:15,03.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,03.12.2019,11:10,03.12.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,03.12.2019,12:05,03.12.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,03.12.2019,13:55,03.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,03.12.2019,14:50,03.12.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,04.12.2019,08:10,04.12.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,04.12.2019,09:05,04.12.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,04.12.2019,10:15,04.12.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,04.12.2019,12:05,04.12.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,04.12.2019,13:55,04.12.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,04.12.2019,14:50,04.12.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,04.12.2019,16:00,04.12.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,05.12.2019,08:10,05.12.2019,09:55,P. Garcia BBA 4 - M1,[207]
[BBA 4 - M1] Foreign Languages,05.12.2019,10:15,05.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,05.12.2019,11:10,05.12.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,05.12.2019,12:05,05.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,05.12.2019,13:00,05.12.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,05.12.2019,13:55,05.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Economics,06.12.2019,09:05,06.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,06.12.2019,10:15,06.12.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,06.12.2019,12:05,06.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,06.12.2019,13:00,06.12.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,09.12.2019,12:05,09.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,09.12.2019,13:00,09.12.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] INT 5208 - Briefing for Online Internship Course,09.12.2019,14:50,09.12.2019,16:50,BBA 4 - M1 J. Del Sol R. Puhr,[305]
[BBA 4 - M1] Economics,10.12.2019,08:10,10.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,10.12.2019,10:15,10.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,10.12.2019,11:10,10.12.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,10.12.2019,12:05,10.12.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,10.12.2019,13:55,10.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,10.12.2019,14:50,10.12.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,11.12.2019,08:10,11.12.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,11.12.2019,09:05,11.12.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,11.12.2019,10:15,11.12.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,11.12.2019,12:05,11.12.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,11.12.2019,13:55,11.12.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,11.12.2019,14:50,11.12.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,11.12.2019,16:00,11.12.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,12.12.2019,08:10,12.12.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,12.12.2019,10:15,12.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,12.12.2019,11:10,12.12.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,12.12.2019,12:05,12.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,12.12.2019,13:00,12.12.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,12.12.2019,13:55,12.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Economics,13.12.2019,09:05,13.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,13.12.2019,10:15,13.12.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,13.12.2019,12:05,13.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,13.12.2019,13:00,13.12.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,16.12.2019,12:05,16.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,16.12.2019,13:00,16.12.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Economics,17.12.2019,08:10,17.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,17.12.2019,10:15,17.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,17.12.2019,11:10,17.12.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,17.12.2019,12:05,17.12.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,17.12.2019,13:55,17.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,17.12.2019,14:50,17.12.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,18.12.2019,08:10,18.12.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,18.12.2019,09:05,18.12.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,18.12.2019,10:15,18.12.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,18.12.2019,12:05,18.12.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,18.12.2019,13:55,18.12.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,18.12.2019,14:50,18.12.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,18.12.2019,16:00,18.12.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,19.12.2019,08:10,19.12.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,19.12.2019,10:15,19.12.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,19.12.2019,11:10,19.12.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,19.12.2019,12:05,19.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,19.12.2019,13:00,19.12.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,19.12.2019,13:55,19.12.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] INT 5208 Information Session,19.12.2019,14:50,19.12.2019,15:40,BBA 4 - M1 BBA 4 - M2 CDIP 1,303
[BBA 4 - M1] Economics,20.12.2019,09:05,20.12.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,20.12.2019,10:15,20.12.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,20.12.2019,12:05,20.12.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,20.12.2019,13:00,20.12.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
