Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[B. Hassan] Consultancy Project,23.04.2020,09:05,23.04.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,23.04.2020,11:10,23.04.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,23.04.2020,14:50,23.04.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),27.04.2020,09:05,27.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),27.04.2020,14:50,27.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),28.04.2020,09:05,28.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Meeting,28.04.2020,16:00,28.04.2020,17:45
[B. Hassan] Leading Multi National Teams,30.04.2020,14:50,30.04.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),04.05.2020,09:05,04.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),04.05.2020,14:50,04.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),05.05.2020,09:05,05.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,05.05.2020,13:55,05.05.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,05.05.2020,16:00,05.05.2020,17:45
[B. Hassan] Consultancy Project,07.05.2020,09:05,07.05.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,07.05.2020,11:10,07.05.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
