Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M6] Lunch,17.02.2020,12:05,17.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,28.02.2020,13:00,28.02.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Food and Beverage Management and Cost Control,02.03.2020,08:10,02.03.2020,09:55,J. Van der Blom BBA 4 - M6,[207]
[BBA 4 - M6] Digital Sales and Marketing,02.03.2020,10:15,02.03.2020,11:05,A. Schirinzi BBA 4 - M6,[NW1.1]
[BBA 4 - M6] Lunch,02.03.2020,11:10,02.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,02.03.2020,13:00,02.03.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Integrated Project ,02.03.2020,14:50,02.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Economics,03.03.2020,08:10,03.03.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,03.03.2020,10:15,03.03.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,03.03.2020,11:10,03.03.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,03.03.2020,12:05,03.03.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,03.03.2020,13:55,03.03.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,04.03.2020,08:10,04.03.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,04.03.2020,10:15,04.03.2020,12:00,J. Del Sol BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,04.03.2020,12:05,04.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,04.03.2020,13:00,04.03.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Integrated Project ,04.03.2020,14:50,04.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Foreign Languages - Group 4,05.03.2020,10:15,05.03.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,05.03.2020,11:10,05.03.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,05.03.2020,13:00,05.03.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,05.03.2020,16:00,05.03.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,06.03.2020,08:10,06.03.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,06.03.2020,10:15,06.03.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,06.03.2020,12:05,06.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,06.03.2020,13:00,06.03.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Lunch,09.03.2020,11:10,09.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,09.03.2020,13:00,09.03.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Integrated Project ,09.03.2020,14:50,09.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Economics,10.03.2020,08:10,10.03.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,10.03.2020,10:15,10.03.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,10.03.2020,11:10,10.03.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,10.03.2020,12:05,10.03.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,10.03.2020,13:55,10.03.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Career Day,11.03.2020,08:10,11.03.2020,17:45,BBA 6 - N4 MBA 2 a BBA 1 - SC - Concierge BBA 3 - K2 MBA 2 b (revenue) BBA 4 - M6 D. Adams V. Aiosi A. Andrioli M. Aston S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol S. Dahl A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom M. Varini E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGD BBA 1 - Academic - S1 S2 BBA 1 - SC - Rooms Division BBA 1 - Academic - S3 S4
[BBA 4 - M6] Economics,12.03.2020,09:05,12.03.2020,09:55,F. Avila BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 4,12.03.2020,10:15,12.03.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,12.03.2020,11:10,12.03.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,12.03.2020,13:00,12.03.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Rooms Inventory and Control Management,12.03.2020,13:55,12.03.2020,15:40,J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Leading Teams to Success,12.03.2020,16:00,12.03.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,13.03.2020,08:10,13.03.2020,09:55,M. Aston BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,13.03.2020,10:15,13.03.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,13.03.2020,12:05,13.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,13.03.2020,13:00,13.03.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Food and Beverage Management and Cost Control,16.03.2020,08:10,16.03.2020,09:55,J. Van der Blom BBA 4 - M6,[207]
[BBA 4 - M6] Digital Sales and Marketing,16.03.2020,10:15,16.03.2020,11:05,A. Schirinzi BBA 4 - M6,[NW1.1]
[BBA 4 - M6] Lunch,16.03.2020,11:10,16.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,16.03.2020,13:00,16.03.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Integrated Project ,16.03.2020,14:50,16.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Economics,17.03.2020,08:10,17.03.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,17.03.2020,10:15,17.03.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,17.03.2020,11:10,17.03.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,17.03.2020,12:05,17.03.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,17.03.2020,13:55,17.03.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,18.03.2020,08:10,18.03.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,18.03.2020,10:15,18.03.2020,12:00,J. Del Sol BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,18.03.2020,12:05,18.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,18.03.2020,13:00,18.03.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Integrated Project ,18.03.2020,14:50,18.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Foreign Languages - Group 4,19.03.2020,10:15,19.03.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,19.03.2020,11:10,19.03.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,19.03.2020,13:00,19.03.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,19.03.2020,16:00,19.03.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,20.03.2020,08:10,20.03.2020,09:55,M. Aston BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,20.03.2020,10:15,20.03.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,20.03.2020,12:05,20.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,20.03.2020,13:00,20.03.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Digital Sales and Marketing,23.03.2020,10:15,23.03.2020,11:05,A. Schirinzi BBA 4 - M6,[NW1.1]
[BBA 4 - M6] Lunch,23.03.2020,11:10,23.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,23.03.2020,13:00,23.03.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Integrated Project ,23.03.2020,14:50,23.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Economics,24.03.2020,08:10,24.03.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,24.03.2020,10:15,24.03.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,24.03.2020,11:10,24.03.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,24.03.2020,12:05,24.03.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,24.03.2020,13:55,24.03.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,25.03.2020,08:10,25.03.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,25.03.2020,10:15,25.03.2020,12:00,J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,25.03.2020,12:05,25.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,25.03.2020,13:00,25.03.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Integrated Project ,25.03.2020,14:50,25.03.2020,17:45,J. Del Sol I. Francis E. Rachny A. Schirinzi J. Van der Blom BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,NW 1.1 NW 1.2 NW 2.1 NW 2.2 NW 3.1 NW 3.2
[BBA 4 - M6] Foreign Languages - Group 4,26.03.2020,10:15,26.03.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,26.03.2020,11:10,26.03.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,26.03.2020,13:00,26.03.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,26.03.2020,16:00,26.03.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,27.03.2020,08:10,27.03.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,27.03.2020,10:15,27.03.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,27.03.2020,12:05,27.03.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,27.03.2020,13:00,27.03.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
