Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - SC - Rooms Division] Professional Communication Skills,14.05.2020,13:55,14.05.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,15.05.2020,08:10,15.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,15.05.2020,10:15,15.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,15.05.2020,13:00,15.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,18.05.2020,10:15,18.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,18.05.2020,13:00,18.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,18.05.2020,14:50,18.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,19.05.2020,08:10,19.05.2020,09:55,A. Andrioli E. Crettenand J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,304 EW 2 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,19.05.2020,10:15,19.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,19.05.2020,13:00,19.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,19.05.2020,14:50,19.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,20.05.2020,08:10,20.05.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,20.05.2020,10:15,20.05.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,20.05.2020,13:00,20.05.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,20.05.2020,14:50,20.05.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,21.05.2020,08:10,21.05.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Front Office Practical,21.05.2020,10:15,21.05.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,21.05.2020,13:55,21.05.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,22.05.2020,08:10,22.05.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,22.05.2020,10:15,22.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,22.05.2020,13:00,22.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,25.05.2020,10:15,25.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,25.05.2020,13:00,25.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,25.05.2020,14:50,25.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,26.05.2020,08:10,26.05.2020,09:55,A. Andrioli E. Crettenand J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,304 EW 2 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,26.05.2020,10:15,26.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,26.05.2020,13:00,26.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,26.05.2020,14:50,26.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,27.05.2020,08:10,27.05.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,27.05.2020,10:15,27.05.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,27.05.2020,13:00,27.05.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,27.05.2020,14:50,27.05.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,28.05.2020,08:10,28.05.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Front Office Practical,28.05.2020,10:15,28.05.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,28.05.2020,13:55,28.05.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,29.05.2020,08:10,29.05.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,29.05.2020,10:15,29.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,29.05.2020,13:00,29.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,01.06.2020,10:15,01.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,01.06.2020,13:00,01.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,01.06.2020,14:50,01.06.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,02.06.2020,08:10,02.06.2020,09:55,A. Andrioli E. Crettenand J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,304 EW 2 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,02.06.2020,10:15,02.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,02.06.2020,13:00,02.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,02.06.2020,14:50,02.06.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,03.06.2020,08:10,03.06.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,03.06.2020,10:15,03.06.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,03.06.2020,13:00,03.06.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,03.06.2020,14:50,03.06.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,04.06.2020,08:10,04.06.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Front Office Practical,04.06.2020,10:15,04.06.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,04.06.2020,13:55,04.06.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,05.06.2020,08:10,05.06.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,05.06.2020,10:15,05.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,05.06.2020,13:00,05.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,08.06.2020,10:15,08.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,08.06.2020,13:00,08.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,08.06.2020,14:50,08.06.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,09.06.2020,08:10,09.06.2020,09:55,A. Andrioli E. Crettenand J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,304 EW 2 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,09.06.2020,10:15,09.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,09.06.2020,13:00,09.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,09.06.2020,14:50,09.06.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,10.06.2020,08:10,10.06.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,10.06.2020,10:15,10.06.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,10.06.2020,13:00,10.06.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,10.06.2020,14:50,10.06.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,11.06.2020,08:10,11.06.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Front Office Practical,11.06.2020,10:15,11.06.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,11.06.2020,13:55,11.06.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,12.06.2020,08:10,12.06.2020,09:55,E. Crettenand A. Andrioli J. Meehan BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,EW 2 304 208
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,12.06.2020,10:15,12.06.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,12.06.2020,13:00,12.06.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
