Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Marketing] General Education,12.03.2020,08:10,12.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,12.03.2020,11:10,12.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,12.03.2020,13:00,12.03.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Brand Management,12.03.2020,14:50,12.03.2020,17:45,BBA 7 - G2 Marketing A. Schirinzi
[BBA 7 - G2 Marketing] Marketing 4.0,13.03.2020,08:10,13.03.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,13.03.2020,09:05,13.03.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,13.03.2020,11:10,13.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),16.03.2020,09:05,16.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,16.03.2020,12:05,16.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,16.03.2020,13:00,16.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),16.03.2020,14:50,16.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),17.03.2020,09:05,17.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,17.03.2020,12:05,17.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,17.03.2020,13:00,17.03.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] General Education,18.03.2020,08:10,18.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,18.03.2020,11:10,18.03.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,18.03.2020,13:00,18.03.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,18.03.2020,13:55,18.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,18.03.2020,14:50,18.03.2020,16:50,BBA 7 - G2 Marketing S. Dahl
[BBA 7 - G2 Marketing] General Education,19.03.2020,08:10,19.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,19.03.2020,11:10,19.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,19.03.2020,13:00,19.03.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,20.03.2020,08:10,20.03.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,20.03.2020,09:05,20.03.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,20.03.2020,11:10,20.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),23.03.2020,09:05,23.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,23.03.2020,12:05,23.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,23.03.2020,13:00,23.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
